Flight_ID,Airline,Source,Destination,Departure_Date,Departure_Time,Arrival_Time,Total_Stops,Distance_km,Travel_Class,Days_Before_Departure,Season,Weekday,Aircraft_Type,Booking_Channel,Passenger_Count,Price,Duration_minutes
FL165595,Etihad Airways,Goa Airport,FRA,2026-04-25,,22:31,1,7356.4,Economy,44.0,Summer,Saturday,Airbus A350,Mobile App,1,80860.59,
FL126838,,Goa,Bangalore,2026-01-21,00:00,1:09 AM,0,519.5,First,3.0,Winter,Wednesday,,Mobile App,2,12713.67,70.0
FL113018,Etihad Airways,,Bangalore,2025-07-21,00:45,,2,3167.6,Economy,1.0,Monsoon,Monday,Airbus A350,Travel Agent,one,26954.91,
FL152802,Vistara,DXB,Kolkata,2025-11-15,8:45 PM,1:43 AM,0,5190.14254668214,Economy,3.0,Autumn,,Boeing 777,Travel Agent,3,56322.52,
FL174625,Vistara,AMD,Goa,2026-10-02,00:10,03:26,1,897.3,Economy,8.0,Autumn,Friday,,Mobile App,3,5984.09,197.0
FL193635,Singapore Airlines,,Sydney,2025-07-13,21:50,,1,9535.8,Business,34.0,Monsoon,Sunday,Boeing 777,Website,1,200000.0,824.0
FL113711,Qatar Airways,Delhi,SIN,2026-05-01,10:20 PM,5:36 AM,1,4176.6,Business,4.0,Summer,Friday,Boeing 787 Dreamliner,Website,2,200000.0,437.0
FL137239,Lufthansa,Singapore,Delhi Airport,2025-11-18,2:35 PM,23:10,2,4395.2,Economy,30.0,Autumn,Tuesday,Boeing 787 Dreamliner,Website,one,34402.42,515.0
FL152596,Indigo,BLR,HYD,2026-12-15,04:35,07:30,0,532.5,Economy,34.0,Winter,Tuesday,ATR 72,Third-Party,3,2000.0,175.2
FL156716,indigo,Hyderabad Airport,Kolkata,2025-08-09,8:15 AM,10:22,0,1272.3,Economy,13.0,Monsoon,Saturday,Airbus A321,Website,3,7064.98,
FL134770,Qatar Airways,Pune,Bangkok,2025-07-09,8:20 PM,,1,2991.3,Economy,5.0,,Wednesday,Boeing 777,Website,1,34882.19,359.0
FL137873,AirAsia India,Mumbai,AMD,2026-07-09,03:45,06:19,1,442.3,Premium Economy,29.0,Monsoon,Thursday,ATR 72,Mobile App,1,2409.87,154.0
FL105182,Etihad Airways,Delhi,New York,2025-02-11,20:50,14:45,2,11807.0,Economy,3.0,Winter,Tuesday,Airbus A320,Third-Party,two,138508.75,1076.0
FL179883,Singapore Airlines,Bangkok,SIN,2025-02-09,04:40,07:00,0,1436.8,Economy,109.0,Winter,Sunday,Boeing 787 Dreamliner,Mobile App,,16075.57,141.0
FL112248,AirAsia India,Hyderabad,Chennai,2025-04-19,8:20 AM,11:15,1,518.5,Economy,167.0,Summer,Saturday,ATR 72,Website,1,2721.57,175.0
FL133881,,Singapore,Bangkok,2025-01-04,9:40 PM,2:41 AM,2,1538.5,Economy,125.0,Winter,Saturday,Airbus A350,Third-Party,1,15000.0,
FL113885,Singapore Airlines,Goa,Doha,2026-04-15,12:45,19:59,2,2582.7,Economy,12.0,Summer,Wednesday,Boeing 787 Dreamliner,Website,1,32654.78,
FL139664,Emirates,Doha,Kolkata,2026-06-12,23:45,06:31,1,4003.2,Business,142.0,Monsoon,Friday,Airbus A320,Third-Party,1,125596.23,406.0
FL151555,AIRASIA INDIA,,DEL,2025-03-29,05:40,8:32 AM,0,1857.0,Economy,35.139630174406385,Summer,Saturday,Boeing 737,Mobile App,,8205.35,173.0
FL124215,lufthansa,Bangkok,Kolkata Airport,2025-11-09,15:00,6:35 PM,1,1620.6,Economy,6.0,Autumn,Sunday,Airbus A380,Mobile App,4,29309.62,
FL157478,Etihad Airways,SYD,AMD,2026-03-23,16:20,06:24,0,5190.14254668214,Economy,16.0,Summer,Monday,Boeing 787 Dreamliner,Website,1,101009.48,844.0
FL113214,Emirates,Jaipur,Doha,2026-10-22,10:10,14:58,1,2479.2,Economy,14.0,Autumn,Thursday,Boeing 777,Travel Agent,1,18961.59,
FL119224,Air India,BLR,Mumbai,2026-08-22,,08:13,1,5190.14254668214,Economy,35.139630174406385,Monsoon,Saturday,Boeing 737,Mobile App,1,3943.21,183.0
FL124603,Qatar Airways,New York Airport,JAI,2026-05-15,13:00,06:42,1,12103.3,Economy,23.0,Summer,Friday,Airbus A350,Third-Party,2,136375.27,1062.0
FL178861,Singapore Airlines,,Dubai,2025-09-14,16:40,8:36 PM,0,2687.4,Economy,4.0,Monsoon,Sunday,Airbus A380,Website,2,45946.34,237.0
FL192316,Lufthansa,Singapore,MAA,2026-06-09,03:00,08:29,1,2967.7,Premium Economy,6.0,Monsoon,Tuesday,Boeing 787 Dreamliner,Mobile App,1,49306.26,330.0
FL135547,Vistara,MAA,Goa,2025-09-17,1:55 PM,6:49 PM,2,789.6,Economy,16.0,Monsoon,Wednesday,ATR 72,Travel Agent,6,2890.81,294.0
FL166636,Emirates,Chennai,Dubai,2025-07-28,02:05,07:43,1,3147.3,Economy,2.0,Monsoon,Monday,Boeing 777,,1,41752.9,339.0
FL109281,Thai Airways,Sydney,Delhi Airport,2025-02-20,9:50 PM,1:01 PM,1,10615.5,Economy,14.0,Winter,,Airbus A320,Mobile App,1,117938.47,911.4
FL146572,spicejet,Delhi,Bangalore,,5:55 AM,10:07,1,1847.7,Economy,22.0,Monsoon,Wednesday,Airbus A320,Mobile App,4,8258.2,253.0
FL120878,Emirates,Bangalore,FRA,2026-12-06,00:50,13:13,2,7481.1,Economy,43.0,Winter,Sunday,Boeing 787 Dreamliner,Mobile App,6,72693.5,
FL132711,Lufthansa,Mumbai,Singapore,2026-07-29,8:20 PM,01:51,0,3917.0,Economy,25.0,Monsoon,Wednesday,Airbus A380,Airport Counter,2,50025.61,331.0
FL172819,AirAsia India,Hyderabad,Kolkata,2025-06-22,20:35,10:37 PM,0,5190.14254668214,Economy,19.0,Monsoon,Sunday,ATR 72,Airport Counter,2,6300.53,123.0
FL126383,Emirates,Singapore,PNQ,2025-06-12,11:45,17:19,0,3961.0,Economy,40.0,Monsoon,Thursday,,,3,44425.45,335.0
FL100626,Emirates,Dubai,LHR,2026-12-22,08:20,4:21 PM,0,5869.7,Premium Economy,11.0,Winter,Tuesday,Airbus A320,Travel Agent,1,97552.83,482.0
FL104615,Indigo,Ahmedabad,Jaipur,2026-01-05,,6:43 PM,0,562.8,Premium Economy,40.0,Winter,Monday,Airbus A320,Mobile App,4,4765.69,73.0
FL117973,Emirates,New York,Chennai,2025-02-27,8:05 PM,17:53,2,14268.2,Economy,13.0,Winter,Thursday,Airbus A320,Mobile App,3,161074.64,1308.0
FL143688,Emirates,Bangalore,London Airport,2025-09-10,7:25 AM,6:13 PM,0,8044.0,Economy,35.0,Monsoon,Wednesday,Airbus A380,Mobile App,2,54748.5,
FL145319,Air India,Dubai,Sydney,2026-10-15,22:20,15:53,1,12448.6,Economy,4.0,Autumn,Thursday,Boeing 777,Website,1,149002.87,1053.0
FL142578,Qatar Airways,Chennai Airport,Dubai,2026-06-29,11:25,5:30 PM,1,3007.2,Business,31.0,Monsoon,Monday,Airbus A320,Mobile App,,53436.61,366.0
FL101013,british airways,Pune,London,2026-08-18,09:55,21:57,1,7679.3,Premium Economy,2.0,Monsoon,Tuesday,Airbus A320,Mobile App,1,183142.34,
FL153259,British Airways,MAA,Bangkok Airport,2026-01-14,23:15,03:52,1,2286.9,Economy,18.0,Winter,Wednesday,Airbus A380,Website,2,18035.58,278.0
FL146067,Etihad Airways,New York,Frankfurt,2026-10-01,11:20 AM,22:51,2,6451.1,Economy,35.139630174406385,Autumn,Thursday,Airbus A350,Website,1,59436.09,691.0
FL191240,Lufthansa,Jaipur,Sydney,2025-11-03,01:20,3:19 PM,0,10524.7,Business,11.0,Autumn,Monday,Boeing 777,Website,,200000.0,840.0
FL108084,LUFTHANSA,GOI,Sydney,,11:55 AM,2:37 AM,1,10288.5,Economy,29.0,Summer,Friday,Boeing 787 Dreamliner,Website,1,114784.11,882.0
FL180139,Qatar Airways,Sydney Airport,,2025-10-11,04:30,19:12,1,10167.2,First,110.0,Autumn,Saturday,Boeing 787 Dreamliner,Travel Agent,2,200000.0,883.0
FL137141,Vistara,Hyderabad,MAA,2025-11-18,3:30 AM,06:08,1,543.2,Economy,6.0,Autumn,Tuesday,Airbus A320,Website,2,4170.31,158.0
FL108135,Qatar Airways,Dubai Airport,Doha,2025-11-08,2:10 PM,5:22 PM,2,389.4,Economy,0.0,Autumn,Saturday,Airbus A380,Mobile App,4,15000.0,192.0
FL118614,Air India,New York,Sydney,2025-03-18,,08:34,1,16879.2,Economy,39.0,Summer,Tuesday,Boeing 787 Dreamliner,Travel Agent,1,127955.58,1430.0
FL178834,Vistara,Ahmedabad,Pune,2026-10-16,17:00,7:17 PM,1,554.0,,13.0,Autumn,Friday,ATR 72,Mobile App,2,4105.12,138.0
FL110587,Air India,Jaipur,CCU,2025-10-30,20:40,02:13,2,1401.5,Economy,1.0,Autumn,Thursday,Airbus A320,,4,9061.76,333.0
FL191530,emirates,Goa Airport,London,2025-09-20,10:10 AM,21:36,1,7703.3,Economy,152.0,Monsoon,Saturday,Airbus A380,Mobile App,1,77482.28,686.0
FL117810,Singapore Airlines,Mumbai,Frankfurt,2025-09-07,,06:16,0,6643.8,Premium Economy,99.0,Monsoon,Sunday,Airbus A380,Mobile App,1,109853.36,541.0
FL135314,Singapore Airlines,Delhi,Dubai,2026-03-14,07:25,12:22,1,2209.3,,28.0,Summer,Saturday,Boeing 777,Travel Agent,6,48258.24,298.0
FL165133,Emirates,Bangkok Airport,New York,2025-05-29,01:00,21:37,1,14727.7,Economy,8.0,Summer,Thursday,Boeing 777,Mobile App,1,169748.08,1238.0
FL175414,Singapore Airlines,Delhi,SYD,2025-03-26,03:35,8:38 PM,2,10787.2,Economy,5.0,Summer,Wednesday,,Travel Agent,2,122020.08,1023.0
FL188293,Indigo,Kolkata,Goa,2026-08-18,18:50,10:39 PM,1,1762.9,Economy,177.0,Monsoon,Tuesday,Airbus A320,Website,2,4470.43,230.0
FL128665,ETIHAD AIRWAYS,Doha,Chennai,2026-01-07,15:00,8:45 PM,1,5190.14254668214,Economy,9.0,Winter,Wednesday,Boeing 787 Dreamliner,Travel Agent,1,28140.0,
FL103219,Indigo,Delhi,Mumbai,2025-01-01,4:25 PM,7:42 PM,1,1211.4,Economy,144.0,Winter,Wednesday,Boeing 737,Travel Agent,2,4286.5,197.4
FL116469,AirAsia India,Ahmedabad,Jaipur,2025-02-24,10:20,13:12,1,573.4,Economy,9.0,Winter,Monday,Airbus A320,Website,1,3512.19,172.0
FL136141,Singapore Airlines,,Hyderabad,,4:25 AM,23:38,1,13588.3,Economy,0.0,Summer,Wednesday,Boeing 777,Mobile App,1,200000.0,1154.0
FL144563,British Airways,DXB,Bangkok,,2:40 AM,10:45,1,4920.0,Economy,35.139630174406385,Winter,Monday,,Website,3,72540.05,486.0
FL128322,Singapore Airlines,Doha,Sydney,2026-08-29,05:30,22:24,0,12793.2,Economy,15.0,Monsoon,Saturday,Airbus A320,Website,2,118289.62,1014.0
FL170258,Indigo,Delhi,Kolkata,2026-01-22,13:00,3:17 PM,0,1403.7,Economy,151.0,Winter,Thursday,ATR 72,,2,6962.75,138.0
FL103270,AirAsia India,Ahmedabad,BLR,2026-06-30,18:50,22:23,1,1291.0,Economy,153.0,Monsoon,Tuesday,,Mobile App,4,4273.29,
FL155588,Singapore Airlines,Sydney,Bangkok,2025-05-18,20:40,07:29,0,8059.0,Business,40.0,Summer,Sunday,Airbus A350,Website,2,200000.0,650.0
FL188042,,Jaipur,Bangkok,2025-01-25,05:35,09:56,0,3007.3,Economy,5.0,Winter,Saturday,Airbus A380,Mobile App,1,43297.99,261.0
FL169434,GOFIRST,HYD,Jaipur,2025-11-20,6:05 PM,20:00,0,1114.7,Economy,26.0,Autumn,Thursday,Boeing 737,Mobile App,3,7046.39,116.0
FL196742,British Airways,Singapore,Dubai Airport,2025-12-17,23:50,9:55 AM,1,5190.14254668214,Economy,149.0,Winter,Wednesday,Airbus A320,Travel Agent,2,48231.11,606.0
FL152930,vistara,New York,Goa Airport,2025-05-04,4:10 PM,11:38 AM,1,13671.3,Economy,9.0,Summer,Sunday,Airbus A320,Travel Agent,1,112220.36,1168.0
FL106989,Lufthansa,New York Airport,Hyderabad Airport,2025-03-30,11:05 PM,6:42 PM,2,13101.4,Economy,7.0,Summer,Sunday,Airbus A380,Mobile App,two,200000.0,1177.0
FL163609,Thai Airways,Delhi,Doha,2026-03-11,2:35 AM,08:00,1,2713.1,Economy,0.0,Summer,Wednesday,Airbus A350,Third-Party,four,32377.01,325.0
FL104602,Qatar Airways,Hyderabad Airport,Bangkok,2025-12-28,2:00 AM,05:47,0,2563.5,Economy,22.0,Winter,Sunday,Airbus A350,Mobile App,4,33914.9,227.0
FL123418,SpiceJet,Goa,,2025-02-01,5:10 AM,07:50,1,5190.14254668214,Economy,5.0,Winter,Saturday,Airbus A321,Website,2,5110.75,160.8
FL172818,Thai Airways,Goa,Doha,2026-03-03,06:30,10:21 AM,0,2616.0,,107.0,Summer,Tuesday,Airbus A380,Website,2,25753.89,
FL160014,Air India,London Airport,Kolkata,2026-09-22,20:50,9:31 AM,1,8376.1,Economy,42.0,Monsoon,Tuesday,Airbus A350,Travel Agent,2,39385.83,761.4
FL190349,Vistara,,New York Airport,,8:05 PM,15:01,0,13246.5,Economy,29.0,Monsoon,Monday,Boeing 777,Mobile App,2,92127.79,1136.0
FL159452,Thai Airways,New York Airport,Frankfurt Airport,2026-08-15,22:20,7:12 AM,0,6533.4,Economy,1.0,Monsoon,Saturday,Boeing 777,,2,129197.64,532.8000000000001
FL108856,Singapore Airlines,FRA,Goa,2025-09-27,3:15 AM,12:47 PM,0,7053.0,Business,32.0,Monsoon,Saturday,Airbus A350,Travel Agent,1,200000.0,573.0
FL114038,GoFirst,Goa,Ahmedabad Airport,2025-07-03,03:15,4:56 AM,0,926.3,Business,31.0,Monsoon,Thursday,Airbus A320,Website,1,9262.71,101.39999999999999
FL149174,Etihad Airways,Pune,Doha,2026-04-08,12:15 AM,5:40 AM,1,2464.8,Economy,35.139630174406385,Summer,Wednesday,Airbus A320,Website,,26713.4,325.0
FL180042,ETIHAD AIRWAYS,Singapore Airport,HYD,2025-10-20,14:00,18:49,0,3369.1,Economy,13.0,Autumn,Monday,Airbus A380,Airport Counter,1,32941.95,
FL126247,British Airways,Kolkata,Singapore,2025-10-13,10:50,15:12,0,3026.5,Business,27.0,Autumn,Monday,Boeing 787 Dreamliner,Website,2,86829.6,
FL102192,Indigo,Kolkata Airport,Hyderabad,2025-11-16,00:05,03:53,1,1200.3,Economy,35.139630174406385,Autumn,Sunday,Boeing 737,Mobile App,1,5155.35,228.0
FL178445,Indigo,Chennai Airport,PNQ,2025-09-15,10:35 AM,12:18,0,954.6,Economy,11.0,Monsoon,Monday,ATR 72,Travel Agent,1,6782.17,103.0
FL120563,Singapore Airlines,SIN,Kolkata,2025-04-02,9:00 PM,02:19,1,2949.1,Premium Economy,63.0,Summer,Wednesday,Boeing 777,Travel Agent,1,43477.0,
FL155458,,FRA,Sydney,2026-02-26,4:50 AM,03:15,0,17099.4,Economy,40.0,Winter,Thursday,Airbus A320,Mobile App,1,193593.83,1345.0
FL113992,,Doha,London Airport,2026-11-27,12:00,19:21,0,5346.6,Economy,1.0,Autumn,Friday,Airbus A380,Mobile App,one,113038.67,441.0
FL127906,Singapore Airlines,BLR,Singapore,2025-05-11,21:55,3:37 AM,1,3185.6,,41.0,Summer,Sunday,Airbus A350,Travel Agent,1,35878.52,342.0
FL186019,Thai Airways,Jaipur,London,2026-02-28,08:30,9:19 PM,2,7251.7,,1.0,Winter,Saturday,Boeing 787 Dreamliner,Website,4,146155.56,
FL193682,SpiceJet,Goa,BLR,2025-11-08,1:00 AM,2:09 AM,0,518.0,Economy,5.0,Autumn,Saturday,Airbus A321,Travel Agent,1,2823.44,69.6
FL175597,indigo,Kolkata,Bangalore,2025-04-09,18:20,22:18,1,1658.9,Premium Economy,31.0,Summer,Wednesday,ATR 72,Website,5,8292.11,239.0
FL166703,Etihad Airways,BOM,Singapore,2026-04-22,11:15 AM,4:51 PM,0,3990.9,Economy,29.0,Summer,Wednesday,,Website,2,41016.5,337.2
FL130934,Qatar Airways,Singapore Airport,Frankfurt Airport,2025-12-05,11:55,5:33 AM,2,10614.1,Premium Economy,12.0,Winter,Friday,Airbus A350,Mobile App,1,196225.87,1058.0
FL167171,Indigo,Delhi Airport,Ahmedabad,2025-11-02,17:00,8:04 PM,1,793.3,Economy,4.0,Autumn,Sunday,ATR 72,Website,1,6102.77,184.8
FL194733,AIRASIA INDIA,Jaipur,GOI,2026-12-22,8:20 AM,10:34,0,1355.9,Economy,23.0,,Tuesday,,Travel Agent,1,5904.52,134.0
FL134981,Indigo,Ahmedabad Airport,Hyderabad Airport,2025-03-11,4:25 PM,18:05,0,919.3,Economy,11.0,Summer,Tuesday,ATR 72,,2,5992.51,
FL152432,GoFirst,Chennai,GOI,2026-01-31,10:45,2:03 PM,1,792.9,Premium Economy,19.0,Winter,Saturday,ATR 72,Website,1,6006.85,198.0
FL125338,Singapore Airlines,London,Jaipur Airport,,3:05 AM,12:18,0,6800.7,Economy,36.0,Monsoon,Saturday,Airbus A380,Travel Agent,1,82218.64,553.2
FL151127,Etihad Airways,Ahmedabad,Dubai,2026-06-11,1:55 AM,,0,1817.1,Economy,1.0,Monsoon,,Airbus A350,Third-Party,,28455.12,169.8
FL160779,Indigo,Chennai,GOI,2025-09-27,02:25,05:36,1,742.0,Economy,17.0,Monsoon,Saturday,ATR 72,Travel Agent,1,2898.51,192.0
FL197287,Air India,,Delhi,2026-12-21,3:55 PM,17:25,0,785.7,Premium Economy,160.0,Winter,Monday,,Website,3,6995.81,90.0
FL168590,Qatar Airways,Hyderabad Airport,Sydney,2026-06-21,14:10,2:56 AM,0,9569.5,Economy,14.0,Monsoon,Sunday,Boeing 787 Dreamliner,Mobile App,1,125272.3,
FL185568,etihad airways,MAA,BKK,2025-06-25,9:45 AM,2:35 PM,1,2218.9,Economy,27.0,Monsoon,Wednesday,Airbus A380,Travel Agent,1,16953.24,291.0
FL100711,Qatar Airways,Doha,Delhi,2025-04-01,19:25,00:49,1,2771.4,Business,7.0,,Tuesday,Airbus A350,Airport Counter,2,123999.28,324.0
FL155635,Etihad Airways,Mumbai Airport,New York,2026-11-13,12:25,6:50 AM,1,13064.1,Economy,8.0,Autumn,,Boeing 787 Dreamliner,Mobile App,1,157997.79,1106.0
FL137724,Singapore Airlines,BOM,Frankfurt,2026-01-01,08:50,19:47,1,6796.3,Economy,36.0,Winter,Thursday,,Mobile App,1,67426.44,
FL141894,SpiceJet,Goa,Hyderabad Airport,2025-04-02,12:30 AM,1:44 AM,0,577.8,Economy,35.139630174406385,Summer,Wednesday,Boeing 737,Third-Party,1,3542.41,
FL102783,INDIGO,Goa,Ahmedabad Airport,2026-09-15,2:00 AM,04:39,1,885.3,Economy,23.0,Monsoon,,Airbus A320,,1,3325.27,159.0
FL129271,Indigo,PNQ,Mumbai,2025-12-25,3:50 PM,16:35,0,150.0,Economy,34.0,Winter,Thursday,Airbus A321,Website,2,2000.0,45.0
FL177116,Indigo,Mumbai,Goa,2025-08-23,06:45,7:49 AM,0,451.3,Premium Economy,9.0,Monsoon,Saturday,ATR 72,Mobile App,2,3058.13,65.0
FL139511,Lufthansa,FRA,Doha,2025-10-23,11:30,7:15 PM,1,4619.7,Economy,1.0,Autumn,Thursday,Boeing 787 Dreamliner,Mobile App,2,66781.01,466.0
FL161200,AirAsia India,Ahmedabad,Chennai,2025-11-05,02:20,,1,1388.7,Economy,37.0,Autumn,Wednesday,Airbus A320,Website,2,3715.55,210.6
FL145554,THAI AIRWAYS,London Airport,Kolkata,,09:25,,1,8316.5,Economy,25.0,Summer,Sunday,Airbus A320,Mobile App,1,83950.71,761.4
FL107324,EMIRATES,,Doha,2026-12-25,5:50 AM,12:32,2,2689.4,Business,3.0,Winter,Friday,Boeing 787 Dreamliner,Travel Agent,3,89186.0,403.0
FL155480,British Airways,Dubai Airport,Pune,2025-06-13,7:05 AM,10:23 AM,0,2196.8,Premium Economy,23.0,Monsoon,Friday,Airbus A380,Website,3,34814.73,199.0
FL103631,air india,Sydney Airport,Bangkok,2025-02-20,09:50,8:16 PM,0,7757.6,Economy,17.0,Winter,Thursday,Airbus A380,,5,93546.69,627.0
FL171633,Emirates,FRA,DXB,2025-03-22,10:20 PM,05:04,0,4865.4,Economy,26.0,Summer,Saturday,Airbus A380,Mobile App,1,66402.92,404.0
FL122463,AirAsia India,PNQ,Goa,2025-05-30,13:30,16:40,2,360.4,Economy,45.0,Summer,Friday,Airbus A320,Travel Agent,1,2000.0,191.0
FL119141,Emirates,Kolkata,Dubai Airport,2025-02-16,17:55,11:00 PM,0,5190.14254668214,Business,3.0,Winter,Sunday,Airbus A380,Mobile App,1,200000.0,305.0
FL162279,,MAA,Goa,2026-11-23,18:05,8:45 PM,1,741.8,Economy,12.0,Autumn,Monday,Airbus A321,Travel Agent,1,4087.22,161.0
FL155762,SpiceJet,Pune,Delhi,2025-08-28,07:45,9:47 AM,0,1205.8,Economy,85.0,Monsoon,Thursday,ATR 72,Mobile App,2,5898.54,123.0
FL108461,GoFirst,Ahmedabad,Kolkata,2026-10-06,5:40 PM,,0,1624.8,Economy,163.0,Autumn,Tuesday,ATR 72,Travel Agent,3,5976.3,155.0
FL169570,SpiceJet,HYD,Chennai Airport,2026-01-08,4:05 AM,06:17,1,548.0,Economy,13.0,Winter,Thursday,,Mobile App,1,2340.26,133.0
FL114576,GoFirst,Hyderabad,DEL,2026-11-28,22:20,00:31,0,1323.6,Premium Economy,4.0,Autumn,Saturday,Airbus A321,Third-Party,1,15127.74,
FL103553,Singapore Airlines,Singapore,New York,2025-02-26,20:50,18:27,1,15582.3,Business,20.0,Winter,Wednesday,Airbus A350,Website,3,200000.0,1297.0
FL142023,Air India,Hyderabad,Delhi Airport,2026-08-25,10:35 AM,12:45 PM,0,1301.0,Economy,13.0,Monsoon,Tuesday,ATR 72,Mobile App,3,5721.69,130.0
FL183206,Etihad Airways,SIN,Mumbai,2025-02-09,20:30,5:42 AM,2,4120.0,Economy,12.0,Winter,,Boeing 777,Mobile App,4,60107.51,552.6
FL148279,Lufthansa,London Airport,Chennai Airport,2025-01-09,22:15,12:22,0,8462.1,Economy,30.0,Winter,,Airbus A380,Travel Agent,2,71478.72,847.0
FL167338,British Airways,Sydney,New York,2026-08-10,05:20,3:08 AM,0,16620.7,Economy,29.0,Monsoon,Monday,Airbus A320,Mobile App,1,125322.59,1309.0
FL178084,Air India,,Chennai Airport,2026-02-18,6:45 AM,,2,763.1,Economy,6.0,Winter,Wednesday,,Travel Agent,3,5428.44,221.0
FL155384,Thai Airways,Singapore,FRA,2026-09-18,17:30,07:21,0,10424.9,Economy,19.0,Monsoon,Friday,Boeing 787 Dreamliner,Website,,103349.07,832.0
FL162771,air india,,New York,2026-11-21,,19:02,2,6005.8,Premium Economy,141.0,Autumn,,Airbus A350,Travel Agent,2,50581.42,677.0
FL140414,Etihad Airways,Bangkok,Chennai,2026-01-07,11:50 AM,15:20,0,2349.4,Economy,3.0,Winter,,Boeing 777,Mobile App,5,35392.34,211.0
FL103767,Thai Airways,Jaipur,FRA,2025-05-13,12:45,23:08,1,6510.6,Economy,37.0,Summer,Tuesday,Boeing 787 Dreamliner,Website,one,52215.14,624.0
FL152074,Emirates,Dubai Airport,Ahmedabad,2026-01-01,3:00 PM,17:54,0,1876.3,First,20.0,Winter,Thursday,Boeing 777,Travel Agent,4,96452.98,174.0
FL191150,Singapore Airlines,Bangalore,Bangkok,2026-12-29,4:55 AM,08:45,0,2607.1,Economy,2.0,Winter,Tuesday,Boeing 787 Dreamliner,Travel Agent,1,562.16,231.0
FL191502,GoFirst,Hyderabad,PNQ,2025-01-13,4:30 PM,6:56 PM,1,521.9,Premium Economy,154.0,Winter,Monday,Airbus A321,Travel Agent,1,3331.54,147.0
FL119703,QATAR AIRWAYS,Jaipur Airport,Frankfurt,2026-03-21,15:20,01:45,1,6602.2,Premium Economy,8.0,Summer,Saturday,Airbus A380,Mobile App,1,108924.88,625.0
FL120315,Indigo,Pune,Chennai,2025-08-07,10:55 AM,15:28,2,934.7,Economy,27.0,Monsoon,Thursday,,Mobile App,1,3681.17,273.0
FL102632,Singapore Airlines,Chennai Airport,SYD,2025-10-23,5:30 AM,19:36,1,9569.5,Premium Economy,39.0,Autumn,Thursday,Airbus A380,Website,1,121361.14,846.0
FL113994,Emirates,Doha Airport,Frankfurt,2026-07-26,10:10 AM,,0,4624.5,Business,10.0,Monsoon,Sunday,Airbus A380,Travel Agent,2,200000.0,386.0
FL185647,SpiceJet,Goa,Pune Airport,2025-01-07,4:45 PM,7:16 PM,1,356.3,,42.0,Winter,Tuesday,Airbus A320,Travel Agent,1,2000.0,151.0
FL194291,Qatar Airways,Dubai,Jaipur,2025-12-30,19:50,12:42 AM,1,2184.0,Premium Economy,23.0,Winter,Tuesday,Boeing 777,Airport Counter,1,34464.84,
FL141841,Emirates,Jaipur,Sydney Airport,2025-09-10,11:50,04:00,1,10994.6,First,17.0,Monsoon,Wednesday,Airbus A350,Travel Agent,1,200000.0,
FL141935,Etihad Airways,Pune Airport,Singapore,2025-07-26,11:50 PM,06:30,1,3887.5,Economy,2.0,Monsoon,Saturday,Boeing 777,Website,3,48807.44,401.0
